Sanction_ID,Entity_Type,Primary_Name,AKA_Names,Date_of_Birth,Nationality,Country_of_Residence,Passport_ID,List_Source,Program,Designation_Category,Designation_Reason,Date_Added_to_List,Date_Last_Updated,Status,Remarks
HMT-499248,Individual,Abdul Hamid Al-Yemeni,Al-Yemeni Hamid Abdul | Abdul Al-Yemeni | Al-Masri,02-10-1984,Yemeni,Eritrea,NID-20006962,UN 1267,Al-Qaida,Terrorism Financing,UN SDN - Houthi financial network member,04-01-2007,16-04-2024,Active,Cross-listed on UK HMT list
FIU-817549,Individual,Rashid Mukhtar Dadaev,Dadaev Mukhtar Rashid | Rashid Dadaev | Al-Amin,24-11-1971,Somalian,China,F1635058,EU Consolidated,EU Counter-Terrorism,Terrorism Financing,EU SDN - Financing extremist operations,05-01-2005,29-09-2025,Active,
IRP-926609,Individual,Serkan Yildirim Arslan,Arslan Yildirim Serkan | Serkan Arslan | Al-Libi,05-12-1964,Venezuelan,Saudi Arabia,Z1833676,OFAC SDN,SDGT,Sanctions Evasion,OFAC SDN - Crypto-based sanctions evasion,15-09-2011,11-03-2024,Active,
EU-186995,Individual,Oleksandr Pashkov,Pashkov Oleksandr,23-03-1993,Somalian,Lebanon,DL-932131611,OFAC SDN,SDGT,Sanctions Evasion,OFAC SDN - Sanctions evasion via shell companies,12-03-2018,29-06-2023,Active,
EU-685055,Individual,Grigoriy Ivanenko,Ivanenko Grigoriy,14-11-1996,Iranian,Myanmar,P4962383,EU Consolidated,EU Counter-Terrorism,Illicit Finance - Energy Sector,EU Sectoral Sanctions - Steel & iron sector,28-07-2007,12-01-2025,Active,
HMT-643849,Individual,Vikram Singh Thapar,Thapar Singh Vikram | Vikram Thapar | Al-Iraqi,15-01-1985,Yemeni,Eritrea,DL-532115439,India ED,PMLA Prosecution,Money Laundering,ED Lookout Notice - Money laundering via shell firms,18-05-2013,16-04-2023,Active,
ED-268623,Individual,Serhiy Borysenko,Borysenko Serhiy,14-08-1970,Eritrean,Pakistan,NID-45303647,EU Consolidated,EU Counter-Terrorism,Terrorism Financing,EU Sanctions - Ukraine conflict-related asset freeze,27-11-2012,30-12-2023,Active,
OFAC-215125,Individual,Ibrahim Idris Al-Shabaab,Al-Shabaab Idris Ibrahim | Ibrahim Al-Shabaab | Abu Hassan,05-07-1966,Iranian,Libya,DL-495662575,UN 1267,Al-Qaida,Terrorism Financing,UN SDN - Al-Shabaab financial logistics,16-08-2013,08-05-2025,Active,
UN-424856,Individual,Wu Jianguo,Jianguo Wu | Abu Hassan,03-03-1978,Tajik,Iran,DL-402261011,OFAC SDN,SDGT,Terrorism Financing,BIS Entity List + OFAC SDN - Dual-use tech export,19-07-2011,06-11-2024,Active,Cross-listed on OFAC list
ED-321705,Individual,Dmitri Alexandrov Volkov,Volkov Alexandrov Dmitri | Dmitri Volkov,04-06-1987,Sudanese,Pakistan,NID-88057711,EU Consolidated,EU Counter-Terrorism,Illicit Finance - Energy Sector,EU/OFAC Sectoral Sanctions - Russian energy financing,27-03-2015,07-04-2025,Active,Cross-listed on UK HMT list
OFAC-237286,Individual,Pyotr Vladimirovich Sokolov,Sokolov Vladimirovich Pyotr | Pyotr Sokolov,21-10-1968,Eritrean,Egypt,F8489196,OFAC SDN,SDGT,Terrorism Financing,OFAC SDN - Sanctioned Russian bank official,10-02-2019,05-11-2023,Active,
OFAC-224481,Individual,Khalid Mahmoud Al-Rashidi,Al-Rashidi Mahmoud Khalid | Khalid Al-Rashidi,20-08-1987,Belarusian,Iraq,NID-17691352,OFAC SDN,SDGT,Arms Trafficking / Proliferation,OFAC SDN - Illicit arms trafficking to sanctioned regime,27-11-2006,30-12-2023,Active,
FIU-434607,Individual,Tariq Hassan Al-Baghdadi,Al-Baghdadi Hassan Tariq | Tariq Al-Baghdadi,07-08-1969,Kenyan,Turkey,NID-11189405,UN 1267,Al-Qaida,Terrorism Financing,UN SDN - Propaganda financing for listed group,23-11-2020,24-04-2024,Active,Cross-listed on EU list
UN-811274,Individual,Bashir Mahmoud Akhund,Akhund Mahmoud Bashir | Bashir Akhund,24-03-1973,North Korean,Lebanon,DL-957821673,UN 1267,Al-Qaida,Terrorism Financing,UN SDN - Taliban financial network,14-06-2009,23-01-2023,Active,Cross-listed on UN list
HMT-518487,Individual,Leonid Grigorenko,Grigorenko Leonid | Abu Omar,17-05-1956,Nigerian,Saudi Arabia,U3949592,OFAC SDN,SDGT,Terrorism Financing,OFAC SDN - Donbas region mineral extraction,21-03-2021,28-03-2025,Active,
UN-139418,Individual,Farhad Jafari Nejad,Nejad Jafari Farhad | Farhad Nejad,24-06-1975,Venezuelan,UAE,S3461251,OFAC SDN,SDGT,Terrorism Financing,OFAC SDN - IRGC procurement network,23-03-2022,27-03-2025,Active,Cross-listed on UN list
ED-854939,Individual,Alejandro Vargas Herrera,Herrera Vargas Alejandro | Alejandro Herrera | Al-Iraqi,08-12-1989,Iraqi,Russia,DL-760806544,OFAC SDN,SDGT,Narcotics Trafficking,OFAC SDN - Narcotics trafficking (Cali affiliation),10-08-2022,04-10-2024,Active,Cross-listed on UK HMT list
IRP-184019,Individual,Kim Sung-Hyun,Sung-Hyun Kim | Al-Muhajir,07-11-1960,Sudanese,Myanmar,NID-42452217,OFAC SDN,SDGT,Arms Trafficking / Proliferation,OFAC SDN - DPRK weapons proliferation network,11-05-2023,08-06-2024,Active,
IRP-436169,Individual,Nguyen Quoc Bao,Bao Quoc Nguyen | Nguyen Bao,02-02-1961,Zimbabwean,Turkey,DL-372840665,OFAC SDN,SDGT,Terrorism Financing,OFAC SDN - Transnational criminal organization,17-12-2014,18-09-2023,Active,Cross-listed on EU list
HMT-790190,Individual,Yusuf Al-Qaddafi,Al-Qaddafi Yusuf | Al-Amin,14-11-1991,Congolese,Eritrea,NID-53473441,UN 1267,Al-Qaida,Terrorism Financing,UN Sanctions List 1267 - Libyan regime asset holder,29-07-2006,01-08-2024,Active,
FIU-799171,Individual,Ahmad Farouk Al-Zarqawi,Al-Zarqawi Farouk Ahmad | Ahmad Al-Zarqawi | Al-Iraqi,28-05-1956,Somalian,Sudan,DL-652975085,UN 1267,Al-Qaida,Terrorism Financing,UN SDN - Terror financing facilitation,13-05-2007,16-02-2025,Active,Cross-listed on EU list
ED-409750,Individual,Yasser Ibrahim Al-Houthi,Al-Houthi Ibrahim Yasser | Yasser Al-Houthi,10-09-1982,Bangladeshi,Yemen,DL-922146214,OFAC SDN,SDGT,Arms Trafficking / Proliferation,UN/OFAC SDN - Houthi arms procurement,28-12-2022,18-12-2023,Active,Cross-listed on UK HMT list
ED-889211,Individual,Hassan Reza Tehrani,Tehrani Reza Hassan | Hassan Tehrani,27-12-1975,Bangladeshi,Bangladesh,DL-852894857,OFAC SDN,SDGT,Terrorism Financing,OFAC SDN - Facilitating Iranian petrochemical exports,09-03-2008,16-04-2025,Active,Cross-listed on UK HMT list
OFAC-217788,Individual,Mehmet Demir Karaoglu,Karaoglu Demir Mehmet | Mehmet Karaoglu,23-11-1971,Lebanese,China,V1289271,FATF High Risk,Enhanced Due Diligence,Trade-Based Money Laundering,FATF High-Risk Entity - Gold smuggling network,17-07-2007,03-01-2023,Active,
ED-275489,Individual,Hamza Nawaz Chaudhry,Chaudhry Nawaz Hamza | Hamza Chaudhry,14-10-1956,Lebanese,Pakistan,A6763630,UN 1267,Al-Qaida,Terrorism Financing,UNSC 1267 List - Financing banned organisation,27-01-2021,28-06-2025,Active,Cross-listed on UK HMT list
HMT-687593,Individual,Anwar Ibrahim Al-Zawahiri,Al-Zawahiri Ibrahim Anwar | Anwar Al-Zawahiri,20-11-1958,Iranian,Iran,Y5823510,OFAC SDN,SDGT,Terrorism Financing,Terrorism Financing - Designated under OFAC SDN (SDGT),18-06-2003,04-08-2023,Active,Cross-listed on OFAC list
OFAC-537018,Individual,Hassan Nasrallah Jr.,Jr. Nasrallah Hassan | Hassan Jr. | Al-Libi,18-06-1972,Lebanese,Lebanon,U5952173,OFAC SDN,SDGT,Terrorism Financing,Terrorism Financing - Designated under OFAC SDN (SDGT),31-03-2005,19-03-2025,Active,Cross-listed on EU list
UN-237010,Individual,Muhammad Qasim Al-Rimi,Al-Rimi Qasim Muhammad | Muhammad Al-Rimi | Al-Muhajir,23-12-1963,Yemeni,Yemen,M8015611,UN 1267,Al-Qaida,Terrorism Financing,Terrorism Financing - Designated under UN 1267 (Al-Qaida),05-01-2007,06-01-2025,Active,
IRP-833742,Individual,Yahya Ibrahim Sinwar,Sinwar Ibrahim Yahya | Yahya Sinwar | Al-Farsi,27-03-1967,Syrian,Syria,P8991883,UN 1267,ISIL/Da'esh,Terrorism Financing,Terrorism Financing - Designated under UN 1267 (ISIL/Da'esh),04-09-2004,24-12-2025,Active,
OFAC-445764,Individual,Ziyad Khalil Mohammed,Mohammed Khalil Ziyad | Ziyad Mohammed,11-02-1960,Iraqi,Iraq,U1066111,OFAC SDN,SDGT,Arms Trafficking / Proliferation,Arms Trafficking / Proliferation - Designated under OFAC SDN (SDGT),15-12-2014,17-07-2024,Active,
HMT-374241,Individual,Bilal Hassan Zubair,Zubair Hassan Bilal | Bilal Zubair | Al-Muhajir,19-03-1981,Pakistani,Pakistan,B7664964,UN 1267,Taliban 1988,Terrorism Financing,Terrorism Financing - Designated under UN 1267 (Taliban 1988),05-09-2010,13-11-2025,Active,Cross-listed on UK HMT list
OFAC-829323,Individual,Sirajuddin Haqqani Zadran,Zadran Haqqani Sirajuddin | Sirajuddin Zadran,26-04-1965,Afghan,Afghanistan,G2965741,UN 1267,Taliban 1988,Terrorism Financing,Terrorism Financing - Designated under UN 1267 (Taliban 1988),12-02-2009,18-07-2024,Active,Cross-listed on UN list
IRP-686154,Individual,Omar Akhund Mansour,Mansour Akhund Omar | Omar Mansour,12-12-1980,Afghan,Afghanistan,U9975013,UN 1267,Taliban 1988,Terrorism Financing,Terrorism Financing - Designated under UN 1267 (Taliban 1988),16-03-2018,21-08-2023,Active,
UN-671812,Individual,Khalil Rahman Al-Haqqani,Al-Haqqani Rahman Khalil | Khalil Al-Haqqani,25-01-1986,Pakistani,Pakistan,Q7362677,UN 1267,Taliban 1988,Arms Trafficking / Proliferation,Arms Trafficking / Proliferation - Designated under UN 1267 (Taliban 1988),14-07-2022,19-04-2024,Active,
FIU-268934,Individual,Ahmad Shah Massoud Rahimi,Rahimi Massoud Shah Ahmad | Ahmad Rahimi | Abu Bakr,11-01-1970,Afghan,Afghanistan,Z8317158,OFAC SDN,SDGT,Sanctions Evasion,Sanctions Evasion - Designated under OFAC SDN (SDGT),11-01-2007,16-08-2023,Active,
OFAC-342319,Individual,Arkady Rotenberg,Rotenberg Arkady,26-11-1967,Russian,Russia,D4948586,OFAC SDN,RUSSIA-EO14024,Illicit Finance - Energy Sector,Illicit Finance - Energy Sector - Designated under OFAC SDN (RUSSIA-EO14024),10-06-2019,14-06-2023,Active,Cross-listed on UN list
IRP-565491,Individual,Gennady Timchenko,Timchenko Gennady,11-05-1968,Russian,Russia,S1765051,OFAC SDN,RUSSIA-EO14024,Illicit Finance - Energy Sector,Illicit Finance - Energy Sector - Designated under OFAC SDN (RUSSIA-EO14024),16-06-2003,07-09-2024,Active,Cross-listed on OFAC list
