alert_id,txn_id,timestamp,sender_account,receiver_account,amount,payment_currency,sender_location,receiver_location,payment_type,risk_tier,risk_score,triggered_rules,rule_reasons,is_laundering_gt,laundering_type_gt,created_at,status
ALT-7937A11894EE,3,2026-05-07T10:35:21,5376652437,9600420260,11895.0,UK pounds,UK,UK,ACH,MEDIUM,55,LargeTransaction|CashBusinessAI,"Transaction amount 11,895.00 UK pounds exceeds threshold of 8,000.00; Individual transaction amount 11,895.00 for payment type 'ACH' exceeds allowed threshold 7,500.00 (expected max 5,000.00 x deviation multiplier 1.50). Business Category: Professional Services. Reason: As a Business Analyst with a high annual income and a clean risk profile, the occupation typically involves minimal cash handling. Most transactions are likely electronic or bank transfers. Given the location in Tiruchirappalli, India, and the professional nature of the job, occasional small cash transactions may occur but large cash transactions are uncommon. The observed single cash deposit of 11,895 INR is slightly above typical expectations but could be an outlier or non-recurring. Therefore, the expected maximum normal cash transaction is estimated at 5,000 INR with low cash intensity.",0,,2026-07-02T06:49:19.677179+00:00,OPEN
ALT-483679D2A452,6,2026-05-07T10:35:23,980191499,8577635959,12176.52,UK pounds,UK,UK,ACH,MEDIUM,55,LargeTransaction|CashBusinessAI,"Transaction amount 12,176.52 UK pounds exceeds threshold of 8,000.00; Individual transaction amount 12,176.52 for payment type 'ACH' exceeds allowed threshold 7,500.00 (expected max 5,000.00 x deviation multiplier 1.50). Business Category: Professional Services. Reason: As a Business Analyst with a high annual income in India, cash transactions are expected to be minimal since the occupation typically involves salary payments and business expenses through bank transfers or digital payments. The location in Rajasthan does not significantly increase cash usage for this professional category. Therefore, the maximum normal single cash transaction is estimated to be up to 5000 INR, reflecting occasional minor cash needs.",0,,2026-07-02T06:49:19.677179+00:00,OPEN
ALT-8BAD5F806199,12,2026-05-07T10:35:34,1405792399,5109623450,16555.31,UK pounds,UK,UK,Credit card,MEDIUM,55,LargeTransaction|CashBusinessAI,"Transaction amount 16,555.31 UK pounds exceeds threshold of 8,000.00; Individual transaction amount 16,555.31 for payment type 'Credit card' exceeds allowed threshold 7,500.00 (expected max 5,000.00 x deviation multiplier 1.50). Business Category: Professional Services. Reason: As a Business Analyst with a high annual income in Tamil Nadu, India, cash transactions are expected to be minimal since the occupation typically involves salary payments and business expenses through bank transfers or digital payments. Cash handling is not a core part of the job, so single cash transactions above 5000 INR would be unusual. The observed single cash deposit of 16555 INR is higher than expected but may be an outlier or non-recurring.",0,,2026-07-02T06:49:19.678182+00:00,OPEN
ALT-0A7238B9D6C7,16,2026-05-07T10:35:38,2047410771,6646502650,8110.72,UK pounds,UK,France,Cross-border,MEDIUM,55,LargeTransaction|CashBusinessAI,"Transaction amount 8,110.72 UK pounds exceeds threshold of 8,000.00; Individual transaction amount 8,110.72 for payment type 'Cross-border' exceeds allowed threshold 3,000.00 (expected max 2,000.00 x deviation multiplier 1.50). Business Category: Public Sector Employee. Reason: As a police officer with a high annual income, salary is typically paid via bank transfer or direct deposit, not cash. Cash handling is generally limited to operational duties, not personal transactions. Given the location in India and the occupation, normal personal cash transactions would be low to moderate, rarely exceeding INR 2000 per transaction.",0,,2026-07-02T06:49:19.678182+00:00,OPEN
ALT-F8AE0087155E,18,2026-05-07T10:35:43,4473647189,7892884492,11957.87,UK pounds,UK,USA,Cross-border,MEDIUM,55,LargeTransaction|CashBusinessAI,"Transaction amount 11,957.87 UK pounds exceeds threshold of 8,000.00; Individual transaction amount 11,957.87 for payment type 'Cross-border' exceeds allowed threshold 7,500.00 (expected max 5,000.00 x deviation multiplier 1.50). Business Category: Government Employee. Reason: Government employees typically receive salaries through bank transfers and have limited legitimate cash handling. Given the high annual income and location in Delhi, India, normal cash transactions are expected to be low in frequency and amount, generally below 5000 INR per transaction. The observed single cash deposit of 11957.87 INR is higher than typical but may be occasional. Cross-border payments are unusual for cash but may relate to personal remittances.",0,,2026-07-02T06:49:19.678182+00:00,OPEN
ALT-BF0F3CA15990,19,2026-05-07T10:35:44,8184612956,5628674969,10529.75,UK pounds,UK,UK,Credit card,MEDIUM,55,LargeTransaction|CashBusinessAI,"Transaction amount 10,529.75 UK pounds exceeds threshold of 8,000.00; Individual transaction amount 10,529.75 for payment type 'Credit card' exceeds allowed threshold 7,500.00 (expected max 5,000.00 x deviation multiplier 1.50). Business Category: Retired / Pensioner. Reason: As a retired individual with a high annual income, the customer is unlikely to engage in frequent or large cash transactions. Pensioners typically receive income through bank transfers or pensions, not cash. Given the location in a semi-urban area in Rajasthan, occasional small cash transactions for daily expenses are expected. The maximum normal cash transaction would likely not exceed INR 5000 in a single instance.",0,,2026-07-02T06:49:19.678182+00:00,OPEN
ALT-D58B234AC021,20,2026-05-07T10:35:46,3709430533,9172843471,5274.76,UK pounds,UK,UK,Debit card,MEDIUM,30,CashBusinessAI,"Individual transaction amount 5,274.76 for payment type 'Debit card' exceeds allowed threshold 1,500.00 (expected max 1,000.00 x deviation multiplier 1.50). Business Category: Software Engineer. Reason: Software engineers typically receive income via bank transfers or digital payments rather than cash. Given the high annual income and location in Gujarat, India, cash usage for salary or business is expected to be minimal. Cash transactions, if any, would likely be small and infrequent, such as minor personal expenses or reimbursements.",0,,2026-07-02T06:49:19.678182+00:00,OPEN
ALT-406EBD55AC21,25,2026-05-07T10:36:00,374414130,3220735304,10463.94,UK pounds,UK,UK,Credit card,MEDIUM,55,LargeTransaction|CashBusinessAI,"Transaction amount 10,463.94 UK pounds exceeds threshold of 8,000.00; Individual transaction amount 10,463.94 for payment type 'Credit card' exceeds allowed threshold 7,500.00 (expected max 5,000.00 x deviation multiplier 1.50). Business Category: Professional Services. Reason: As a lawyer with a high annual income in India, cash transactions are generally low due to the professional nature of the occupation and preference for non-cash payments. Legal services typically involve bank transfers, checks, or digital payments rather than cash. The maximum expected cash transaction is modest, reflecting occasional small cash dealings such as client reimbursements or minor expenses.",0,,2026-07-02T06:49:19.678182+00:00,OPEN
ALT-562648C34CF5,34,2026-05-07T10:36:13,8389148416,721717864,16974.63,UK pounds,UK,UK,Credit card,MEDIUM,55,LargeTransaction|CashBusinessAI,"Transaction amount 16,974.63 UK pounds exceeds threshold of 8,000.00; Individual transaction amount 16,974.63 for payment type 'Credit card' exceeds allowed threshold 7,500.00 (expected max 5,000.00 x deviation multiplier 1.50). Business Category: Professional Services. Reason: As a civil engineer with a high annual income and a clean risk profile, the customer is unlikely to handle large cash transactions regularly. The profession typically involves payments through bank transfers or checks rather than cash. Given the location in Andhra Pradesh, India, and the professional nature of the occupation, normal cash transactions would be low in frequency and amount, with a maximum expected single cash transaction around 5000 INR to cover incidental expenses.",0,,2026-07-02T06:49:19.678182+00:00,OPEN
ALT-CD997424F415,35,2026-05-07T10:36:14,3510078932,9418077278,9766.13,UK pounds,UK,UK,ACH,MEDIUM,55,LargeTransaction|CashBusinessAI,"Transaction amount 9,766.13 UK pounds exceeds threshold of 8,000.00; Individual transaction amount 9,766.13 for payment type 'ACH' exceeds allowed threshold 7,500.00 (expected max 5,000.00 x deviation multiplier 1.50). Business Category: Medical Professional. Reason: As a doctor with a high annual income in Telangana, India, the customer is unlikely to handle large cash transactions regularly. Medical professionals typically receive payments through bank transfers, insurance, or digital payments. Cash transactions, if any, are usually small and infrequent, related to incidental expenses or minor reimbursements. The maximum expected single cash transaction would generally not exceed INR 5000.",0,,2026-07-02T06:49:19.678182+00:00,OPEN
ALT-37B6F61A7C21,38,2026-05-07T10:36:23,8410434333,8518184956,10960.64,UK pounds,UK,UK,Debit card,MEDIUM,55,LargeTransaction|CashBusinessAI,"Transaction amount 10,960.64 UK pounds exceeds threshold of 8,000.00; Individual transaction amount 10,960.64 for payment type 'Debit card' exceeds allowed threshold 7,500.00 (expected max 5,000.00 x deviation multiplier 1.50). Business Category: Banking Professional. Reason: As a banker with a high annual income, the customer is unlikely to conduct large cash transactions personally. Banking professionals typically handle cash through institutional channels rather than personal cash deposits. The location in India does not significantly increase cash handling for this occupation. Observed cash deposits are low and infrequent, supporting a low expected maximum cash transaction.",0,,2026-07-02T06:49:19.678182+00:00,OPEN
ALT-5BC89C931BE3,46,2026-05-07T10:36:55,5982914936,7950918410,10131.3,UK pounds,UK,UK,ACH,MEDIUM,55,LargeTransaction|CashBusinessAI,"Transaction amount 10,131.30 UK pounds exceeds threshold of 8,000.00; Individual transaction amount 10,131.30 for payment type 'ACH' exceeds allowed threshold 3,000.00 (expected max 2,000.00 x deviation multiplier 1.50). Business Category: Education. Reason: As a teacher/professor with a stable annual income of approximately 176,000 INR in Kerala, India, cash transactions are expected to be minimal. The occupation typically involves salary payments through bank transfers rather than cash. Cash handling is low intensity, mostly for personal expenses or minor incidental transactions. Therefore, the expected maximum single cash transaction would be relatively low, around 2000 INR, reflecting occasional personal cash use rather than business cash handling.",0,,2026-07-02T06:49:19.678182+00:00,OPEN
ALT-BDC0E9E21D4A,48,2026-05-07T10:36:59,6517611333,7936590626,10623.2,UK pounds,UK,UK,Credit card,MEDIUM,55,LargeTransaction|CashBusinessAI,"Transaction amount 10,623.20 UK pounds exceeds threshold of 8,000.00; Individual transaction amount 10,623.20 for payment type 'Credit card' exceeds allowed threshold 7,500.00 (expected max 5,000.00 x deviation multiplier 1.50). Business Category: Financial Services. Reason: As a stockbroker with a high annual income, the customer primarily deals with electronic transactions and securities rather than cash. Cash handling is minimal and usually limited to incidental personal expenses. Given the location in India and the occupation, normal cash transactions are expected to be low in amount, typically under 5000 INR per transaction. The observed single cash deposit of 10623.2 INR is slightly above typical but could be an outlier or personal expense.",0,,2026-07-02T06:49:19.678182+00:00,OPEN
ALT-DE5EB27F58BC,49,2026-05-07T10:37:05,5896510161,1377603863,7603.2,UK pounds,UK,UK,Cheque,MEDIUM,30,CashBusinessAI,"Individual transaction amount 7,603.20 for payment type 'Cheque' exceeds allowed threshold 7,500.00 (expected max 5,000.00 x deviation multiplier 1.50). Business Category: Education. Reason: As a teacher/professor with a high annual income in India, cash handling is typically minimal since salary payments and most transactions are done via bank transfers or cheques. Cash transactions are expected to be low in frequency and amount, mainly for incidental expenses. The maximum normal cash transaction would likely not exceed INR 5000 in a single instance.",0,,2026-07-02T06:49:19.678182+00:00,OPEN
