Txn_id,Timestamp,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Laundering_type,total_risk_score,risk_tier,triggered_rules,rule_reasons
0,2026-05-07 12:42:05,5708559613,5741860810,32184.44,UK pounds,UK pounds,UK,UK,Credit card,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 32,184.44 UK pounds exceeds threshold of 8,000.00"
1,2026-05-07 12:42:07,6665591208,9710838491,2644.87,UK pounds,UK pounds,UK,UK,Cash Deposit,0,,0,LOW,,
2,2026-05-07 12:42:08,8572310683,5896180453,6158.11,UK pounds,UK pounds,UK,UK,Credit card,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '8572310683' made 3 transactions totalling 18,347.69 within 24h (each below 9,999.00 threshold)"
3,2026-05-07 12:42:08,1918087522,3538220260,2815.43,UK pounds,UK pounds,UK,UK,Cheque,0,,0,LOW,,
4,2026-05-07 12:42:11,8493100501,5182741221,946.99,UK pounds,UK pounds,UK,UK,ACH,0,,0,LOW,,
5,2026-05-07 12:42:13,4784991805,1520019731,4425.66,UK pounds,UK pounds,UK,UK,Credit card,0,,0,LOW,,
6,2026-05-07 12:42:17,6803873546,7548582439,6238.28,UK pounds,UK pounds,UK,UK,ACH,0,,0,LOW,,
7,2026-05-07 12:42:17,9909574335,2897508498,4347.68,UK pounds,UK pounds,UK,UK,Debit card,0,,0,LOW,,
8,2026-05-07 12:42:18,91914997,3661467253,273.71,UK pounds,UK pounds,UK,UK,ACH,0,,0,LOW,,
9,2026-05-07 12:42:23,735534497,2922700745,3279.28,UK pounds,UK pounds,UK,UK,Debit card,0,,0,LOW,,
10,2026-05-07 12:42:26,3510078932,1625701030,6292.38,UK pounds,UK pounds,UK,UK,ACH,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '3510078932' made 3 transactions totalling 19,364.08 within 24h (each below 9,999.00 threshold)"
11,2026-05-07 12:42:33,8121014003,1316458123,6559.7,UK pounds,Mexican Peso,UK,Mexico,Cross-border,0,,0,LOW,,
12,2026-05-07 12:42:39,7758268667,9781013421,9687.92,UK pounds,UK pounds,UK,UK,ACH,1,Large-Cash-Transaction; Structuring/Smurfing,65,HIGH,LargeTransaction|Smurfing,"Transaction amount 9,687.92 UK pounds exceeds threshold of 8,000.00; Smurfing: account '7758268667' made 3 transactions totalling 24,432.96 within 24h (each below 9,999.00 threshold)"
13,2026-05-07 12:42:41,3670139601,9284374487,3542.15,UK pounds,UK pounds,UK,UK,Cheque,0,,0,LOW,,
14,2026-05-07 12:42:41,7192588619,5784381078,1193.72,UK pounds,UK pounds,UK,UK,Debit card,0,,0,LOW,,
15,2026-05-07 12:42:44,6116657264,1672288255,7289.47,UK pounds,UK pounds,UK,UK,Credit card,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '6116657264' made 3 transactions totalling 17,658.56 within 24h (each below 9,999.00 threshold)"
16,2026-05-07 12:42:50,3238526156,1465487567,21203.91,UK pounds,UK pounds,UK,UK,Cheque,1,Large-Cash-Transaction; Layering,50,MEDIUM,LargeTransaction|Layering,"Transaction amount 21,203.91 UK pounds exceeds threshold of 8,000.00; Fan-in: receiver 1465487567 received from 4 distinct senders within 72h (chain amount: 47,338.79, threshold: 10,000.00)"
17,2026-05-07 12:42:50,3459228011,9420023151,79.77,UK pounds,UK pounds,UK,UK,ACH,0,,0,LOW,,
18,2026-05-07 12:42:53,9043338769,1299324105,8662.33,UK pounds,UK pounds,UK,UK,ACH,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 8,662.33 UK pounds exceeds threshold of 8,000.00"
19,2026-05-07 12:42:53,5804227223,7047814082,1775.87,UK pounds,UK pounds,UK,UK,ACH,0,,0,LOW,,
20,2026-05-07 12:42:57,7797425766,9874339405,8431.85,UK pounds,UK pounds,UK,UK,Debit card,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 8,431.85 UK pounds exceeds threshold of 8,000.00"
21,2026-05-07 12:42:58,9392700144,7713641622,9910.85,UK pounds,UK pounds,UK,UK,ACH,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 9,910.85 UK pounds exceeds threshold of 8,000.00"
22,2026-05-07 12:42:59,312396354,2138505015,12598.47,UK pounds,Dirham,UK,UAE,Cross-border,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 12,598.47 UK pounds exceeds threshold of 8,000.00"
23,2026-05-07 12:43:14,5804227223,7548524701,704.55,UK pounds,UK pounds,UK,UK,Debit card,0,,0,LOW,,
24,2026-05-07 12:43:16,9523952344,7148856115,1646.99,UK pounds,UK pounds,UK,UK,Cash Deposit,0,,0,LOW,,
