Customer Id,Account Number,Full Name,Date of Birth,Occupation,Complete Address,Total Income Per Annum,Passport/Gov ID Proof,Is_Flagged,Flag_Type,Flag_Reason,Risk_Category,Risk_Score
CUST787657,6796513462,Arin Narula,28-07-1960,Journalist,"Flat No. 43D, Yogi Ganj, Ville Nagar, Bongaigaon, Telangana - 748543, India",391257,Driving Licence: JR98 20206031263,FALSE,NONE,,CLEAN,13
CUST626883,6485870030,Charan Manne,7/5/1975,Construction Contractor,"Flat No. 1B, Bala, Ville Nagar, Gwalior, Haryana - 167077, India",1218102,Voter ID: PGI9236918,FALSE,NONE,,CLEAN,4
CUST205338,7913365138,Ekantika Cheema,22-09-2003,Doctor,"Flat No. 26B, Anand Path, Ville Nagar, Fatehpur, Kerala - 109166, India",3586143,Driving Licence: RZ29 20176963925,FALSE,NONE,,CLEAN,1
CUST460530,9325731862,Warhi Golla,3/6/1999,Restaurant / Hotel Owner,"Flat No. 12B, Goyal Chowk, Ville Nagar, Jehanabad, Himachal Pradesh - 414682, India",856281,Voter ID: XCY4307323,FALSE,NONE,,CLEAN,0
CUST494077,4528663768,Januja Sarin,8/2/1979,Teacher / Professor,"Flat No. 25D, Taneja Ganj, Ville Nagar, Tumkur, Tamil Nadu - 465887, India",448914,Voter ID: MNV2830713,FALSE,NONE,,CLEAN,1
CUST746759,6631219659,Ishwar Bera,19-05-1974,Farmer,"Flat No. 36C, Lata Nagar, Ville Nagar, Katihar, Kerala - 652294, India",345096,PAN Card: RVPRU5018H,FALSE,NONE,,CLEAN,17
CUST519453,2865517114,Ranveer Das,6/6/1980,Farmer,"Flat No. 32D, Chand Chowk, Ville Nagar, Dhanbad, Bihar - 936020, India",380548,Driving Licence: GC64 20121186806,FALSE,NONE,,CLEAN,19
CUST553000,2792106785,Lekha Gaba,11/8/1998,Jewellery Trader,"Flat No. 41B, Sarin Ganj, Ville Nagar, Danapur, Rajasthan - 916622, India",3755513,Aadhaar Card: XXXX-XXXX-4797,FALSE,NONE,,CLEAN,13
CUST700727,5988394791,Vinaya Natarajan,11/10/1985,Lawyer,"Flat No. 29B, Munshi Street, Ville Nagar, Bidhannagar, Rajasthan - 784167, India",4777447,PAN Card: PRFDR9582E,FALSE,NONE,,CLEAN,7
CUST510934,6116657264,Bashir Mahmoud Akhund,26-06-1957,Hawala Operator,"Block 12, Street 121, Lagos, Nigeria",4100000,Passport: P8594832,TRUE,WATCHLISTED,"FIU Watchlist - Suspected hawala operations, cross-border",WATCHLISTED,47
CUST149278,8752943153,Vrinda Mittal,8/9/1981,Film / Media Professional,"Flat No. 45B, Gera, Ville Nagar, Madhyamgram, Bihar - 266461, India",5672438,Aadhaar Card: XXXX-XXXX-3713,FALSE,NONE,,CLEAN,7
CUST270557,4383404858,Dhriti Sachdev,1/5/2002,Architect,"Flat No. 21C, Kant Nagar, Ville Nagar, Bhilwara, Uttar Pradesh - 177804, India",577289,Passport: F7299138,FALSE,NONE,,CLEAN,10
CUST115667,6061705491,Indali Bhalla,28-09-1985,Lawyer,"Flat No. 6D, Kota Ganj, Ville Nagar, Guntakal, Uttar Pradesh - 576900, India",7628335,Passport: F5959482,FALSE,NONE,,CLEAN,10
CUST487519,6320069287,Kamya Bhagat,15-01-2000,Army Personnel,"Flat No. 24D, Borah Zila, Ville Nagar, Ludhiana, Madhya Pradesh - 319630, India",996524,Passport: W4916445,FALSE,NONE,,CLEAN,19
CUST582559,9711400591,Yashasvi Bose,3/12/2002,Architect,"Flat No. 19D, Krishnan Road, Ville Nagar, Panipat, Bihar - 834335, India",1104118,Passport: M3938131,FALSE,NONE,,CLEAN,17
CUST117975,7018140784,Bashir Mahmoud Akhund,14-11-1960,Pharmacist,"Flat No. 12A, Memon Circle, Ville Nagar, Vijayawada, Uttar Pradesh - 649857, India",1352657,PAN Card: GQGJU2294L,FALSE,NONE,,CLEAN,19
CUST451938,5085626550,Aditya Cherian,14-07-1972,Entrepreneur,"Flat No. 46C, Nigam Circle, Ville Nagar, Kolhapur, Gujarat - 463058, India",7937277,Passport: R4236382,FALSE,NONE,,CLEAN,8
CUST528346,2939719836,Gavin Contractor,16-10-1995,Civil Engineer,"Flat No. 41B, Ganguly Zila, Ville Nagar, South Dumdum, West Bengal - 576126, India",1029558,Aadhaar Card: XXXX-XXXX-3732,FALSE,NONE,,CLEAN,10
CUST195359,4874746643,Janya Khanna,15-01-1976,Restaurant / Hotel Owner,"Flat No. 9D, Mane Chowk, Ville Nagar, Deoghar, Haryana - 691303, India",1035167,Aadhaar Card: XXXX-XXXX-8575,FALSE,NONE,,CLEAN,16
CUST327999,8310701481,Hemangini Gade,26-06-1958,Farmer,"Flat No. 31B, Chana Road, Ville Nagar, Kharagpur, Odisha - 965814, India",190475,Driving Licence: VC92 20180636200,FALSE,NONE,,CLEAN,3
CUST477712,6216316627,Turvi Kata,24-07-1984,Film / Media Professional,"Flat No. 8A, Gour Marg, Ville Nagar, Tenali, Karnataka - 110142, India",6877129,PAN Card: REJLQ2522L,FALSE,NONE,,CLEAN,3
CUST609554,5457661153,Farhan Ul Haq Siddiqui,5/5/1963,NGO Director,"Block 11, Street 31, Pyongyang, North Korea",1800000,Passport: N6595793,TRUE,WATCHLISTED,SECP/FIU Alert - Misuse of non-profit for fund transfer,WATCHLISTED,47
CUST817712,25762606,Tanvi Comar,16-03-1958,Restaurant / Hotel Owner,"Flat No. 32A, Suri Road, Ville Nagar, Phagwara, Punjab - 562094, India",1379269,Aadhaar Card: XXXX-XXXX-2037,FALSE,NONE,,CLEAN,11
CUST844321,566217385,Chandresh Tripathi,16-02-1978,Business Analyst,"Flat No. 16C, Radhakrishnan Ganj, Ville Nagar, Vijayawada, Haryana - 969749, India",784685,Passport: G9809723,FALSE,NONE,,CLEAN,5
CUST521315,4684070958,Chandran Chopra,11/1/1973,Army Personnel,"Flat No. 28B, Gokhale Marg, Ville Nagar, Phagwara, Punjab - 125225, India",547168,Driving Licence: IG24 20126664668,FALSE,NONE,,CLEAN,5
CUST298663,6498497780,Krish Mital,19-04-1962,Government Employee,"Flat No. 41B, Nagi Chowk, Ville Nagar, Mahbubnagar, Assam - 885587, India",1051752,Driving Licence: KC91 20254770129,FALSE,NONE,,CLEAN,15
CUST284171,1074859180,Akshay Walla,17-06-1970,Government Employee,"Flat No. 33C, Mahal Street, Ville Nagar, Begusarai, West Bengal - 369452, India",638579,Voter ID: ZHW2932227,FALSE,NONE,,CLEAN,1
CUST664365,109525315,Yuvraj Loke,8/10/1970,Farmer,"Flat No. 32B, Chokshi Street, Ville Nagar, Nandyal, Delhi - 557007, India",535159,Voter ID: AIR7783308,FALSE,NONE,,CLEAN,6
