Time,Date,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type
11:18:43,5/7/2026,9081133856,6444220418,9536.53,UK pounds,UK pounds,UK,UK,Credit card
11:18:47,5/7/2026,2797998245,7311790898,154.1,UK pounds,UK pounds,UK,UK,Debit card
11:18:47,5/7/2026,4724128387,7080357663,13780.22,UK pounds,UK pounds,UK,UK,Debit card
11:18:47,5/7/2026,2648217197,8323355303,1478.61,UK pounds,UK pounds,UK,UK,ACH
11:18:49,5/7/2026,1408017543,8944568728,26766.03,UK pounds,UK pounds,UK,UK,Debit card
11:18:50,5/7/2026,6320582455,8673917867,8321.74,UK pounds,UK pounds,UK,UK,Cheque
11:18:51,5/7/2026,1368491162,8617716810,2264.23,UK pounds,UK pounds,UK,UK,Cheque
11:18:54,5/7/2026,4572902827,8656044056,2217.73,UK pounds,UK pounds,UK,UK,ACH
11:18:55,5/7/2026,9508689417,5103043844,7367.11,UK pounds,Naira,UK,Nigeria,Cross-border
11:18:56,5/7/2026,9938882588,7388995962,772.84,UK pounds,UK pounds,UK,UK,ACH
11:18:57,5/7/2026,3440654296,8172080174,5594,UK pounds,UK pounds,UK,UK,Credit card
11:18:58,5/7/2026,712466523,8518184956,7499.42,UK pounds,UK pounds,UK,UK,Cheque
11:19:03,5/7/2026,3510078932,1625701030,6276.88,UK pounds,UK pounds,UK,UK,ACH
11:19:04,5/7/2026,2158196009,2191071426,1942.78,UK pounds,UK pounds,UK,UK,Debit card
11:19:06,5/7/2026,1225080541,3163618355,12554.48,UK pounds,UK pounds,UK,UK,Credit card
11:19:06,5/7/2026,4703595147,7080357663,5907.95,UK pounds,UK pounds,UK,UK,Cheque
11:19:09,5/7/2026,1378784400,8430883282,4968.61,UK pounds,Mexican Peso,UK,Mexico,Cross-border
11:19:11,5/7/2026,2913996500,1431561040,12170.92,UK pounds,UK pounds,UK,UK,Cheque
11:19:11,5/7/2026,6834477393,6444220418,8138.3,UK pounds,UK pounds,UK,UK,Credit card
11:19:11,5/7/2026,1041875273,9880450680,551.16,UK pounds,UK pounds,UK,UK,Credit card
11:19:12,5/7/2026,4831893174,2192295697,797.33,UK pounds,UK pounds,UK,UK,Cash Deposit
11:19:13,5/7/2026,1716006167,1783791298,288.11,UK pounds,UK pounds,UK,UK,Cheque
11:19:13,5/7/2026,6148992716,5628674969,7401.24,UK pounds,UK pounds,UK,UK,Cheque
11:19:14,5/7/2026,4684563438,1320927231,9660.19,UK pounds,UK pounds,UK,UK,ACH
11:19:15,5/7/2026,9343544605,9282684202,1559.14,UK pounds,UK pounds,UK,UK,Debit card
11:19:17,5/7/2026,2095405293,4383827460,1043.23,UK pounds,UK pounds,UK,UK,Cheque
11:19:21,5/7/2026,215465344,5216531044,4544.48,UK pounds,UK pounds,UK,UK,Debit card
11:19:22,5/7/2026,5982914936,9491670243,9663.13,UK pounds,UK pounds,UK,UK,Cheque
11:19:24,5/7/2026,7758268667,6000485397,9352.21,UK pounds,UK pounds,UK,UK,Credit card
11:19:27,5/7/2026,6482235799,3606734702,6296.7,UK pounds,UK pounds,UK,UK,Cheque
11:19:28,5/7/2026,8859134919,9852654030,2196.22,UK pounds,UK pounds,UK,UK,Debit card
11:19:28,5/7/2026,8705444631,81382229,2986.62,UK pounds,UK pounds,UK,UK,ACH
11:19:31,5/7/2026,3998168536,4336977506,5935.86,UK pounds,UK pounds,UK,UK,Cheque
11:19:32,5/7/2026,6340007440,4316483340,106.04,UK pounds,Indian rupee,UK,India,Cash Withdrawal
11:19:34,5/7/2026,8389148416,3009426762,5449.2,UK pounds,UK pounds,UK,UK,ACH
11:19:34,5/7/2026,4600894500,6034997194,5357.08,UK pounds,UK pounds,UK,UK,Debit card
11:19:34,5/7/2026,8523021855,2534644942,13176.52,UK pounds,Euro,UK,France,Cross-border
11:19:35,5/7/2026,2294025022,5858369125,8762,UK pounds,UK pounds,UK,UK,ACH
11:19:39,5/7/2026,2365007895,7142479189,24530.9,UK pounds,UK pounds,UK,UK,Debit card
11:19:42,5/7/2026,7060433286,7160736915,5094.28,UK pounds,UK pounds,UK,UK,Cheque
11:19:43,5/7/2026,9673864368,7080357663,12284.06,UK pounds,UK pounds,UK,UK,Cheque
11:19:44,5/7/2026,7501327339,3546968911,5068.46,UK pounds,Euro,UK,Germany,Cross-border
11:19:45,5/7/2026,6904169843,4270865741,6234.9,UK pounds,UK pounds,UK,UK,ACH
11:19:46,5/7/2026,8394294350,8678802420,7868.71,UK pounds,UK pounds,UK,UK,ACH
11:19:52,5/7/2026,1274645528,3205718917,9844.27,UK pounds,UK pounds,UK,UK,Credit card
11:19:54,5/7/2026,5449505444,9673253200,846.67,UK pounds,UK pounds,UK,UK,Debit card
11:19:56,5/7/2026,4233653992,2224626267,325.21,UK pounds,UK pounds,UK,UK,Cash Withdrawal
11:19:56,5/7/2026,1491989064,3755103279,7340.98,UK pounds,UK pounds,UK,UK,ACH
11:20:01,5/7/2026,1937509788,5628674969,9593.82,UK pounds,UK pounds,UK,UK,Credit card
11:20:04,5/7/2026,1108824956,1616215875,3188.32,UK pounds,UK pounds,UK,UK,ACH
11:20:07,5/7/2026,6354136969,7080357663,19924.47,UK pounds,UK pounds,UK,UK,Debit card
11:20:09,5/7/2026,4496388351,1123187068,15057.3,UK pounds,UK pounds,UK,UK,ACH
11:20:10,5/7/2026,673079006,2617387410,484.35,UK pounds,UK pounds,UK,UK,Cash Deposit
11:20:11,5/7/2026,8271828814,6844017836,277.18,UK pounds,UK pounds,UK,UK,Cash Withdrawal
11:20:12,5/7/2026,3977956775,5363117119,9663.48,UK pounds,UK pounds,UK,UK,Credit card
11:20:14,5/7/2026,9548148966,1197393451,7551.01,UK pounds,UK pounds,UK,UK,Cheque
11:20:17,5/7/2026,8952177221,3031188286,11864.26,UK pounds,UK pounds,UK,UK,ACH
11:20:18,5/7/2026,1915450576,1020934931,5220.48,UK pounds,UK pounds,UK,UK,Debit card
11:20:19,5/7/2026,8257603427,2794147563,903.89,UK pounds,UK pounds,UK,UK,Cheque
11:20:23,5/7/2026,3138958286,1726639525,2938.4,UK pounds,UK pounds,UK,UK,Cash Deposit
11:20:23,5/7/2026,9277661052,6945267083,8563.72,UK pounds,UK pounds,UK,UK,Cheque
11:20:24,5/7/2026,7788310039,5103043844,10634.57,UK pounds,Naira,UK,Nigeria,Cross-border
11:20:25,5/7/2026,6764548823,497786955,6673.92,UK pounds,Indian rupee,UK,India,Cross-border
11:20:28,5/7/2026,3485414590,2284498805,4473.7,UK pounds,UK pounds,UK,UK,Cheque
11:20:29,5/7/2026,7965472676,6646502650,5395.01,UK pounds,Euro,UK,France,Cross-border
11:20:32,5/7/2026,703647888,1431561040,19786.35,UK pounds,UK pounds,UK,UK,Cheque
11:20:32,5/7/2026,3318565458,8116165846,118.16,UK pounds,UK pounds,UK,UK,Cash Withdrawal
11:20:32,5/7/2026,3193577264,668971934,1839.45,UK pounds,UK pounds,UK,UK,Credit card
11:20:33,5/7/2026,9301628280,5091851687,18325.75,UK pounds,UK pounds,UK,UK,Cheque
11:20:34,5/7/2026,7326442087,1493436023,7569.32,UK pounds,UK pounds,UK,UK,Debit card
11:20:37,5/7/2026,7592950832,508467541,5181.76,UK pounds,UK pounds,UK,UK,Debit card
11:20:43,5/7/2026,4107570314,8294852198,1200.06,UK pounds,UK pounds,UK,UK,ACH
11:20:47,5/7/2026,3510078932,5975019683,187.59,UK pounds,UK pounds,UK,UK,Cash Withdrawal
11:20:48,5/7/2026,8952177221,4447848214,8017.62,UK pounds,UK pounds,UK,UK,Debit card
11:20:48,5/7/2026,9673864368,7080357663,12364.14,UK pounds,UK pounds,UK,UK,ACH
11:20:49,5/7/2026,7298581095,909255728,812.66,UK pounds,UK pounds,UK,UK,Credit card
11:20:50,5/7/2026,1140797403,4985209646,858.34,UK pounds,UK pounds,UK,UK,Credit card
11:20:52,5/7/2026,2972193348,5103043844,6399.51,UK pounds,Naira,UK,Nigeria,Cross-border
11:20:55,5/7/2026,3548585281,2624357754,2495.97,UK pounds,UK pounds,UK,UK,Cheque
11:20:59,5/7/2026,8952177221,4269977194,7513.18,UK pounds,UK pounds,UK,UK,Debit card
11:21:00,5/7/2026,7762693859,356423482,1901.56,UK pounds,UK pounds,UK,UK,ACH
11:21:04,5/7/2026,3784990976,1563211938,4687.37,UK pounds,UK pounds,UK,UK,Cheque
11:21:04,5/7/2026,3033453299,5858369125,21019.22,UK pounds,UK pounds,UK,UK,ACH
11:21:07,5/7/2026,2304794217,5594682841,8358.5,UK pounds,UK pounds,UK,UK,Credit card
11:21:10,5/7/2026,7695306517,1320927231,9490.6,UK pounds,UK pounds,UK,UK,ACH
11:21:10,5/7/2026,7758268667,4389103342,9438.94,UK pounds,UK pounds,UK,UK,Debit card
11:21:18,5/7/2026,3885112922,8078423981,20693.28,UK pounds,UK pounds,UK,UK,Credit card
11:21:19,5/7/2026,3844359667,5024517169,4572.71,UK pounds,UK pounds,UK,UK,Cash Deposit
11:21:21,5/7/2026,7319032742,9828041222,1399.77,UK pounds,UK pounds,UK,UK,Cash Deposit
11:21:21,5/7/2026,8730244405,7080357663,6777.35,UK pounds,UK pounds,UK,UK,Credit card
11:21:22,5/7/2026,6127913747,6256496387,203.67,UK pounds,UK pounds,UK,UK,Cash Withdrawal
11:21:24,5/7/2026,7002077089,3758118046,778.19,UK pounds,UK pounds,UK,UK,Cheque
11:21:25,5/7/2026,2509831973,7145265219,8433.7,UK pounds,UK pounds,UK,UK,Cheque
11:21:32,5/7/2026,6086421020,7011505686,11299.14,UK pounds,Euro,UK,Italy,Cross-border
11:21:34,5/7/2026,6541552727,2877832458,6868.28,UK pounds,Moroccan dirham,UK,Morocco,Cross-border
11:21:34,5/7/2026,2028959593,5466123934,4688.47,UK pounds,UK pounds,UK,UK,Debit card
11:21:36,5/7/2026,9158349760,1255543523,1961.56,UK pounds,UK pounds,UK,UK,Cheque
11:21:36,5/7/2026,9380648181,182328433,5546.64,UK pounds,UK pounds,UK,UK,Cheque
11:21:43,5/7/2026,6916264887,6953672776,6721.51,UK pounds,Mexican Peso,UK,Mexico,Cross-border
11:21:46,5/7/2026,3432179554,7650934701,101.46,UK pounds,UK pounds,UK,UK,Cash Deposit
11:21:50,5/7/2026,8998990372,3066321263,13131.39,UK pounds,UK pounds,UK,UK,ACH
11:21:52,5/7/2026,6527752903,7862563842,2219.57,UK pounds,UK pounds,UK,UK,Cheque
11:21:52,5/7/2026,4344174806,8120048129,5666.45,UK pounds,UK pounds,UK,UK,ACH
11:21:52,5/7/2026,2384413935,133522171,340.48,UK pounds,UK pounds,UK,UK,Credit card
11:21:54,5/7/2026,8434312153,5139534598,5461.44,UK pounds,UK pounds,UK,UK,Credit card
11:21:56,5/7/2026,8335225856,1076785690,2870.2,UK pounds,UK pounds,UK,UK,Cheque
11:21:57,5/7/2026,4488115730,9909847186,1622.51,UK pounds,UK pounds,UK,UK,Cash Deposit
11:22:00,5/7/2026,2201489060,6364275595,1725.41,UK pounds,UK pounds,UK,UK,Cash Deposit
11:22:11,5/7/2026,5452849099,4336977506,8620.92,UK pounds,UK pounds,UK,UK,Credit card
11:22:12,5/7/2026,5714926472,2534644942,5137.39,UK pounds,Euro,UK,France,Cross-border
11:22:13,5/7/2026,5470113126,3661025271,8919.78,Euro,UK pounds,Italy,UK,Cross-border
11:22:14,5/7/2026,3529992395,509504616,340.26,UK pounds,UK pounds,UK,UK,Debit card
11:22:14,5/7/2026,9824280342,1117983911,5486.12,UK pounds,UK pounds,UK,UK,Debit card
11:22:15,5/7/2026,7695306517,1320927231,9599.17,UK pounds,UK pounds,UK,UK,Credit card
11:22:16,5/7/2026,931922222,8846899491,452.29,UK pounds,UK pounds,UK,UK,Credit card
