Time,Date,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type
10:35:19,5/7/2026,8724731955,2769355426,1459.15,UK pounds,UK pounds,UK,UK,Cash Deposit
10:35:20,5/7/2026,1491989064,8401255335,6019.64,UK pounds,Dirham,UK,UAE,Cross-border
10:35:20,5/7/2026,287305149,4404767002,14328.44,UK pounds,UK pounds,UK,UK,Cheque
10:35:21,5/7/2026,5376652437,9600420260,11895,UK pounds,UK pounds,UK,UK,ACH
10:35:21,5/7/2026,9614186178,3803336972,115.25,UK pounds,UK pounds,UK,UK,Cash Deposit
10:35:21,5/7/2026,8974559268,3143547511,5130.99,UK pounds,UK pounds,UK,UK,ACH
10:35:23,5/7/2026,980191499,8577635959,12176.52,UK pounds,UK pounds,UK,UK,ACH
10:35:23,5/7/2026,8057793308,9350896213,56.9,UK pounds,UK pounds,UK,UK,Credit card
10:35:26,5/7/2026,6116657264,656192169,4738.45,UK pounds,UK pounds,UK,UK,Cheque
10:35:29,5/7/2026,7421451752,2755709071,5883.87,Indian rupee,UK pounds,UK,UK,Credit card
10:35:31,5/7/2026,5119661534,9734073275,2342.31,UK pounds,UK pounds,UK,UK,Debit card
10:35:34,5/7/2026,5606024775,8646193759,1239.61,UK pounds,UK pounds,UK,UK,Cash Deposit
10:35:34,5/7/2026,1405792399,5109623450,16555.31,UK pounds,Pakistani rupee,UK,UK,Credit card
10:35:37,5/7/2026,2188890133,3938416782,15459.46,UK pounds,UK pounds,UK,UK,Cheque
10:35:37,5/7/2026,6715177555,4460925916,586.28,UK pounds,UK pounds,UK,UK,Cheque
10:35:37,5/7/2026,7017008854,3714297114,1971.15,UK pounds,Euro,UK,Spain,Cross-border
10:35:38,5/7/2026,2047410771,6646502650,8110.72,UK pounds,Euro,UK,France,Cross-border
10:35:41,5/7/2026,1470504995,3347268325,1190.3,UK pounds,UK pounds,UK,UK,Credit card
10:35:43,5/7/2026,4473647189,7892884492,11957.87,UK pounds,US dollar,UK,USA,Cross-border
10:35:44,5/7/2026,8184612956,5628674969,10529.75,UK pounds,UK pounds,UK,UK,Credit card
10:35:46,5/7/2026,3709430533,9172843471,5274.76,UK pounds,UK pounds,UK,UK,Debit card
10:35:50,5/7/2026,8331196922,7390946087,774.18,UK pounds,UK pounds,UK,UK,ACH
10:35:53,5/7/2026,7311441430,4362242478,8364.55,UK pounds,UK pounds,UK,UK,ACH
10:35:54,5/7/2026,9139420948,4473064900,1877.56,UK pounds,UK pounds,UK,UK,Credit card
10:35:55,5/7/2026,6846270694,855729452,3166.12,UK pounds,UK pounds,UK,UK,Debit card
10:36:00,5/7/2026,374414130,3220735304,10463.94,UK pounds,UK pounds,UK,UK,Credit card
10:36:01,5/7/2026,9239631224,3274570726,13230.72,UK pounds,UK pounds,UK,UK,ACH
10:36:04,5/7/2026,2004133484,3079818547,8095.66,UK pounds,UK pounds,UK,UK,Credit card
10:36:04,5/7/2026,8723924487,8381540882,3839.09,UK pounds,UK pounds,UK,UK,ACH
10:36:04,5/7/2026,6533102627,9092261147,4731.86,UK pounds,UK pounds,UK,UK,Cash Deposit
10:36:05,5/7/2026,1203252958,8500212178,2438.3,UK pounds,Mexican Peso,UK,Mexico,Cross-border
